version,published_at,Linux,Windows,MacOS
v0.13.30,2022-03-07,19.032047089601043,55.39568345323741,25.572269457161546
v0.13.31,2022-03-08,18.419719394475706,53.06241007315739,28.517870532366906
v0.13.33,2022-03-11,0.0,0.0,0.0
v0.14.2,2022-03-28,14.966724475237713,55.26043757955797,29.772837945204312
v0.14.5,2022-04-11,15.144394618834081,55.65381165919282,29.201793721973097
v0.14.6,2022-04-18,18.03850974271661,54.17464765418085,27.786842603102535
v0.14.15,2022-06-07,17.085217421234013,55.585146431813584,27.329636146952403
v0.15.6,2022-07-12,16.121489864153943,55.68285440389067,28.195655731955387
v0.15.8,2022-07-22,10.874631039304024,56.15970172440578,32.965667236290194
v0.15.9,2022-07-26,13.343709527163664,54.49262684328918,32.16366362954716
v1.0.0,2022-10-13,14.536547084347632,55.299679615386076,30.16377330026629
v1.0.3,2022-10-26,15.811497951702489,56.10914576806139,28.07935628023613
v1.1.8,2022-12-20,13.143822122150295,55.85264408793821,31.003533789911497
v1.1.8-E21,2022-12-21,81.36,14.399999999999999,4.24
v1.1.9,2022-12-23,14.44958689286508,58.038140764452905,27.51227234268202
v1.1.15,2023-02-22,15.819993403542146,59.358916340039734,24.821090256418124
v1.1.16,2023-03-02,13.55077354242763,59.913604352238714,26.535622105333655
v1.2.7,2023-05-02,11.087697060920542,64.79363067416621,24.118672264913254
v1.2.8,2023-05-09,17.142551598759493,57.85579337071156,25.001655030528948
v1.3.3,2023-05-23,7.819263492334265,60.28104143122162,31.899695076444125
v1.3.4,2023-05-24,7.512254707552707,60.600123736852964,31.887621555594333
v1.3.5,2023-06-01,10.72086133415847,58.828743505888504,30.45039515995302
v1.3.7,2023-07-31,12.433944668946223,60.42318786100006,27.142867470053712
v1.4.5,2023-08-31,13.463216051177668,60.475428903751094,26.061355045071245
v1.4.10,2023-09-11,4.2863030636076385,88.32257178183816,7.391125154554197
v1.4.11,2023-09-11,14.046579330422126,60.10878725197273,25.844633417605152
v1.4.12,2023-09-12,11.60970316980547,63.41031801389858,24.979978816295954
v1.4.13,2023-09-15,8.691079437726849,57.63074651875986,33.678174043513295
v1.4.14,2023-09-26,11.050063580070537,64.45077942841189,24.499156991517566
v1.4.16,2023-10-13,10.739901720238906,56.45018521804168,32.80991306171941
