version,published_at,Linux,Windows,MacOS
v0.13.30,2022-03-07,3492,10342,4694
v0.13.31,2022-03-08,27290,78773,42234
v0.13.33,2022-03-11,0,0,0
v0.14.2,2022-03-28,17559,64821,34854
v0.14.5,2022-04-11,8443,31317,16282
v0.14.6,2022-04-18,61059,183657,94008
v0.14.15,2022-06-07,39721,129509,63524
v0.15.6,2022-07-12,13791,47886,24120
v0.15.8,2022-07-22,7700,39984,23345
v0.15.9,2022-07-26,117483,480091,283153
v1.0.0,2022-10-13,38169,145508,79194
v1.0.3,2022-10-26,102605,363768,181862
v1.1.8,2022-12-20,8414,36035,19839
v1.1.8-E21,2022-12-21,2038,363,108
v1.1.9,2022-12-23,111190,447006,211709
v1.1.15,2023-02-22,21226,77731,32364
v1.1.16,2023-03-02,105257,466054,206053
v1.2.7,2023-05-02,13999,82176,30449
v1.2.8,2023-05-09,34333,113956,49109
v1.3.3,2023-05-23,3672,28424,14964
v1.3.4,2023-05-24,18953,153040,80418
v1.3.5,2023-06-01,125562,689683,356273
v1.3.7,2023-07-31,68989,334696,150229
v1.4.5,2023-08-31,31527,141665,60961
v1.4.10,2023-09-11,319,6560,545
v1.4.11,2023-09-11,3671,15842,6750
v1.4.12,2023-09-12,8995,49342,19346
v1.4.13,2023-09-15,54120,358722,209495
v1.4.14,2023-09-26,50765,299713,112381
v1.4.16,2023-10-13,203516,958546,541659
