Name,Download
Minimal,663021
Things,423769
Blue Topaz,303952
Obsidian Nord,231525
Atom,211582
Obsidianite,170444
Sanctum,132273
Shimmering Focus,124601
Dracula for Obsidian,116473
Wasp,110001
Prism,104965
Typewriter,98294
AnuPpuccin,97648
Yin and Yang,97261
Obsidian gruvbox,92549
Cybertron,88556
Primary,88325
Everforest,83349
ITS Theme,79392
80s Neon,76891
Big Sur Aesthetic,75344
Deep Work,74818
Notation,64330
California Coast,61009
Solarized,56843
Catppuccin,51953
Obsidian You,48393
Terminal,45982
Red Graphite,45962
Typomagical,43676
Ono Sendai,43466
Obuntu,42162
Clair de Lune,41064
Dracula Official,40178
Night Owl,38313
Spectrum,35607
LYT Mode,34236
Pink Topaz,33796
Golden Topaz,33291
Tokyo Night,31277
Dark Moss,28097
Discordian,27545
Cyber Glow,27523
Mado Miniflow,27427
Vileplume,27302
Bubble Space,26160
Sodalite,23782
obsidian_ia,22745
Mado 11,20767
Encore,20559
Willemstad,19819
Border,19259
Reverie,19130
Royal Velvet,17997
Ars Magna,17831
Gitsidian,17755
Wyrd,17420
GitHub Theme,16947
Ultra Lobster,16728
Sandstorm,16315
Shiba Inu,15370
Horizon,14986
Moonlight,14929
Ukiyo,14415
Blackbird,14232
Harmonic,13814
Pisum,13233
PLN,13035
Pine Forest Berry,12890
Ebullientworks,12719
Comfort color dark,12535
Slytherin,12266
Dracula + LYT,11778
Typora-Vue,11096
Dark Graphite Pie,11032
Material Gruvbox,10590
Nebula,10514
Origami,10262
Sparkling Wisdom,10232
Obsidianotion,10230
Agora,10091
Firefly,9444
Obsidian Windows 98 Edition,9270
Aura,9243
Comfort Smooth,9222
Wikipedia,9072
Obsidian Nord Enhanced,8927
Ursa,8698
Mammoth,8687
Subtlegold,8679
Light & Bright,8507
Suddha,8273
Cardstock,8239
Vintage Theme,8185
Maple,7961
Molecule,7937
Faded,7815
Notation 2,7797
WiseLight,7730
Hipstersmoothie,7602
Aurora,7548
🔔 Chime,7446
Golden Coffee,7224
Behave dark,7089
Obsdn-Dark-Rmx,6985
Al Dente,6797
GitHub theme,6720
Purple Aurora,6605
Adwaita,6535
Amethyst,6426
Rosé Pine Moon,6400
Theme-That-Shall-Not-Be-Named,6171
Cidreira Coast,6013
Kanagawa,5955
WY Console,5897
Material Ocean,5878
Dawn,5768
Hulk,5736
Material Flat,5656
Darkyan,5551
Traffic Lights,5540
Fusion,5463
deeper work,5413
Serenity,5372
Everforest Enchanted,5274
Purple Owl,5212
Dayspring,5211
Alchemy,5162
AbsoluteGruv,5156
Emerald,5055
Dune,4967
Obsidian Boom,4964
Friendly,4885
Dracula Slim,4847
Listive,4821
Bolt,4787
Violet Evening,4716
Deep,4699
Elegance,4646
Ayu Mirage,4598
Christmas,4570
Everblush,4564
Creature,4526
Dark Graphite,4506
Dracula Gemini,4504
Ruby,4455
Panic Mode,4442
Zenburn,4439
Lizardmen Zettelkasten,4261
Charcoal,4225
GDCT,4181
Higlighter,4161
ion,4152
Big & Bold,4103
Jotter,4096
Base2Tone,3951
iA Writer,3934
Abyssal,3760
Gastown,3707
Apatheia,3695
Rmaki,3659
WilcoxOne,3577
Viridian,3522
Iceberg,3503
Simple,3466
Red Solitude,3369
Golden Book,3328
Aqua,3242
Simplicity,3141
Ayu,3138
Carpe Noctem,3124
Feather,3117
Micro Mike,3102
GDCT Dark,3086
SynthWave,3080
Carnelian,3059
Olivier’s Theme,2940
iB Writer,2904
Buena Vista,2889
Dekurai,2819
Sparkling Night,2799
Abecedarium,2780
GitHubDHC,2704
Polka,2684
MagicUser,2633
Modern Dark,2554
Doctorfree,2532
Cybertron Shifted,2466
Lemons Theme,2466
Yue,2466
ProtocolBlue,2447
Brutalism,2447
gummy,2420
Wombat,2419
Flexoki,2403
Neo,2376
SALEM,2327
Proper Dark,2294
Synthwave '84,2267
sQdthOne,2216
Solitude,2090
Silence,2052
Atomus,2024
Tokyo Night Storm,2014
NeuBorder,1953
Qlean,1934
NotSwift,1873
Dracula Plus,1865
Rezin,1811
Origin,1767
Tomorrow Night Bright,1675
Nightingale,1628
Comfort,1602
Sanguine,1540
Comfort Dark,1491
halcyon,1490
Illusion,1485
Vibrant,1419
Oldsidian Purple,1385
Autotape,1335
Aura Dark,1325
monochroYOU,1172
Vanilla AMOLED,1089
LaTeX,1004
Shiba Uni,986
Covert,963
Strict,946
Oozy,938
Minimal-Resources,926
Palatinate,792
Serika,741
Venom,693
Kakano,541
Transient,392
Green Nightmare,339
EvilRed,101
LYT Dracula,98
obsidian,32
theme,28
Warmth,26
sQdth One,6
styles,5
Obsidian-Typora-Vue,4
obsidian-minimal,4
Default,3
BRAT-whyt-byte----Blue-Topaz_Obsidian-css,3
Blue-Topaz,3
Windows 10,2
yin-and-yang,2
primary,2
github,2
Lime_百草霜,2
Revin,2
BRAT-AnubisNekhet----AnuPpuccin,2
Blue Topaz-0.59,2
Yin-and-Yang,2
Dracula,2
DarkArts,2
working-edits,2
Shiba Inu NG,2
80,1
Red Graphite alt,1
BRAT-kepano----obsidian-minimal,1
Blue Topaz 2,1
moonlight,1
BlueTopaz,1
pisum,1
MOD_Obsidian Nord,1
Haydn's theme,1
Blue_Topaz_beta2_20221015,1
Ying and Yang,1
ITS,1
配色2,1
default_on_steroids_old,1
Print,1
obsidian-gruvbox,1
+Yin and Yang,1
Giuseppe,1
JB-Minimal,1
obsidian_everforest,1
Zettelkasten,1
palatinate,1
Obsidianite-JPH-BiJiBen,1
Bubble-Space,1
minimal,1
Blue-Topaz_Obsidian,1
Cyber LYT,1
黑暗模式背景,1
MyObStyle01,1
blue-Topaz,1
2022-12-02-candobear theme for obsidian 221202,1
ITS Theme黄绿,1
Thing,1
graph,1
themes_California Coast,1
themes_Dracula for Obsidian,1
Obsidianite自改,1
Bubble-Space-Theme,1
translucent,1
California Coast1,1
California Coast3,1
Notion,1
theme.css,1
Default Theme,1
extended-colorschemes,1
sib,1
80s_neon,1
Dashboard++,1
80s Neon-screenshot,1
Sspai,1
deepwork,1
mytheme,1
Minimal Pro,1
Igneous,1
Dark Moss-3-12-22,1
Juliana,1
California-Coast,1
obsidian-Atom,1
Windows 98,1
Blue Topaz 4.17,1
publish,1
BRAT-Akifyss----obsidian-border,1
minial,1
atom,1
aldente-warmthColors,1
solarized,1
FF,1
AnuExtendTheme,1
act-theme,1
dracula-custom,1
sifou,1
All Alternate Themes,1
lizardmen-zettelkasten,1
sakura,1
drake-black,1
TfTHacker Testing Theme,1
warmth,1
github-dark-default,1
Blue Topaz-2022.5.14,1
Obsidianite theme,1
pure gold,1
amethyst,1
CaliforniaCoastMod,1
Elvann Theme 1,1
california-coast,1
bubble-space,1
DarkArtsBluePill,1
Monochrome Theme,1
mydefault,1
Translucent,1
lineheight,1
Dracula+,1
lapis,1
MNM,1
polka,1
yiyang,1
gastown,1
Suffer,1
jiajia,1
obsidian_nord,1
things,1
CreArts,1
undefined,1
True Black (OLED),1
obsidian_03,1
Blue_Topaz_v2.4_obsidian,1
obsidian-v2,1
nord,1
Blue-Topaz_Obsidian-css-6.0,1
my_theme,1
Bryans Gruvbox,1
sample theme,1
Obsidian Primary,1
line,1
Minimal 2,1
