Name,Download
Minimal,698434
Things,445058
Blue Topaz,315053
Obsidian Nord,242167
Atom,220797
Obsidianite,177348
Sanctum,137958
Shimmering Focus,131226
Dracula for Obsidian,121650
Wasp,115628
Prism,110825
AnuPpuccin,110438
Typewriter,103779
Yin and Yang,97349
Obsidian gruvbox,96964
Cybertron,91651
Primary,88688
Everforest,86862
ITS Theme,83514
80s Neon,79751
Big Sur Aesthetic,75344
Deep Work,74819
Notation,67088
California Coast,61011
Solarized,59972
Catppuccin,56887
Obsidian You,48394
Terminal,48175
Red Graphite,47865
Typomagical,46334
Ono Sendai,45807
Obuntu,44158
Dracula Official,42413
Clair de Lune,41064
Night Owl,39652
Spectrum,36856
Pink Topaz,35602
LYT Mode,35427
Tokyo Night,34911
Golden Topaz,34853
Mado Miniflow,29426
Cyber Glow,29262
Dark Moss,29076
Discordian,28498
Vileplume,28385
Bubble Space,26173
Sodalite,24738
obsidian_ia,23509
Encore,22423
Mado 11,21741
Border,21519
Willemstad,20394
Reverie,19879
GitHub Theme,19479
Royal Velvet,19264
Gitsidian,18291
Ultra Lobster,17982
Wyrd,17979
Ars Magna,17838
Shiba Inu,17245
Sandstorm,17034
Ukiyo,15869
Moonlight,15484
Horizon,14987
Blackbird,14861
PLN,14541
Harmonic,13820
Pisum,13667
Pine Forest Berry,13306
Ebullientworks,13201
Comfort color dark,12903
Slytherin,12769
Dracula + LYT,12259
Typora-Vue,12113
Material Gruvbox,11634
Obsidianotion,11425
Dark Graphite Pie,11400
Nebula,11172
Origami,10768
Sparkling Wisdom,10525
Agora,10417
Wikipedia,9968
Aura,9768
Firefly,9759
Comfort Smooth,9507
Obsidian Windows 98 Edition,9289
Light & Bright,9241
Mammoth,9003
Obsidian Nord Enhanced,8927
Subtlegold,8923
Ursa,8907
Maple,8723
Notation 2,8577
Cardstock,8534
Suddha,8512
Faded,8197
Vintage Theme,8190
Molecule,8120
🔔 Chime,8078
WiseLight,7935
Hipstersmoothie,7810
Aurora,7796
Behave dark,7341
Golden Coffee,7224
Obsdn-Dark-Rmx,6990
Adwaita,6966
Al Dente,6956
Purple Aurora,6865
GitHub theme,6720
Rosé Pine Moon,6648
Amethyst,6441
WY Console,6431
Theme-That-Shall-Not-Be-Named,6366
Material Ocean,6274
Kanagawa,6239
Dawn,6232
Material Flat,6114
Cidreira Coast,6013
Serenity,5879
Everforest Enchanted,5874
Hulk,5862
Darkyan,5780
Fusion,5745
deeper work,5704
Traffic Lights,5543
Dune,5463
Dayspring,5405
Bolt,5379
Purple Owl,5361
AbsoluteGruv,5319
Alchemy,5162
Obsidian Boom,5057
Emerald,5056
Elegance,5053
Dracula Slim,4977
Listive,4953
Friendly,4885
Violet Evening,4880
Dracula Gemini,4824
Deep,4812
Christmas,4738
Ayu Mirage,4731
Everblush,4696
Creature,4619
Dark Graphite,4604
Zenburn,4543
Panic Mode,4532
Ruby,4457
ion,4449
Big & Bold,4378
Jotter,4323
Charcoal,4302
GDCT,4274
Lizardmen Zettelkasten,4261
iA Writer,4253
Higlighter,4186
Base2Tone,4043
Simple,4035
Abyssal,4013
Apatheia,3960
Rmaki,3727
Gastown,3716
WilcoxOne,3634
Iceberg,3575
Feather,3534
Viridian,3526
Simplicity,3465
Flexoki,3392
Red Solitude,3369
Micro Mike,3338
Golden Book,3328
Aqua,3319
SynthWave,3239
Olivier’s Theme,3225
Buena Vista,3174
iB Writer,3169
Ayu,3155
GDCT Dark,3144
Carpe Noctem,3124
Dekurai,3098
Carnelian,3062
Sparkling Night,3042
GitHubDHC,2947
Abecedarium,2944
Polka,2870
Neo,2822
MagicUser,2805
ProtocolBlue,2714
SALEM,2707
gummy,2703
Yue,2682
Brutalism,2671
Lemons Theme,2656
Doctorfree,2650
Cybertron Shifted,2641
Wombat,2588
Modern Dark,2555
Proper Dark,2528
Synthwave '84,2478
sQdthOne,2379
Qlean,2283
Tokyo Night Storm,2282
Solitude,2262
NotSwift,2192
NeuBorder,2163
Dracula Plus,2145
Atomus,2103
Silence,2072
halcyon,2035
Origin,1963
Rezin,1912
Comfort,1888
Autotape,1842
Tomorrow Night Bright,1784
Comfort Dark,1750
Nightingale,1737
monochroYOU,1707
Sanguine,1652
Aura Dark,1575
Vibrant,1505
Illusion,1485
Oldsidian Purple,1472
LaTeX,1420
Vanilla AMOLED,1388
Kakano,1283
Minimal-Resources,1073
Covert,1071
Strict,1033
Oozy,1033
Shiba Uni,986
Serika,892
Venom,836
Vicious,803
Palatinate,792
Transient,690
Green Nightmare,642
Heboric,553
Zario,377
EvilRed,350
Spring,280
Prussian Blue,271
Perso,210
Celestial Night,108
LYT Dracula,98
Rosé Pine,96
obsidian,34
theme,34
Warmth,27
sQdth One,6
styles,5
obsidian-minimal,5
Blue-Topaz,4
