Name,Download
Minimal,665280
Things,425092
Blue Topaz,304778
Obsidian Nord,232188
Atom,212193
Obsidianite,170867
Sanctum,132625
Shimmering Focus,125027
Dracula for Obsidian,116818
Wasp,110372
Prism,105318
Typewriter,98671
AnuPpuccin,98372
Yin and Yang,97267
Obsidian gruvbox,92829
Cybertron,88767
Primary,88359
Everforest,83568
ITS Theme,79683
80s Neon,77070
Big Sur Aesthetic,75344
Deep Work,74818
Notation,64518
California Coast,61009
Solarized,57032
Catppuccin,52242
Obsidian You,48393
Terminal,46131
Red Graphite,46075
Typomagical,43838
Ono Sendai,43620
Obuntu,42283
Clair de Lune,41064
Dracula Official,40306
Night Owl,38406
Spectrum,35695
LYT Mode,34311
Pink Topaz,33905
Golden Topaz,33381
Tokyo Night,31516
Dark Moss,28154
Cyber Glow,27638
Discordian,27610
Mado Miniflow,27536
Vileplume,27375
Bubble Space,26161
Sodalite,23846
obsidian_ia,22796
Mado 11,20833
Encore,20671
Willemstad,19852
Border,19401
Reverie,19178
Royal Velvet,18076
Ars Magna,17831
Gitsidian,17790
Wyrd,17451
GitHub Theme,17098
Ultra Lobster,16805
Sandstorm,16365
Shiba Inu,15468
Horizon,14986
Moonlight,14968
Ukiyo,14489
Blackbird,14280
Harmonic,13814
Pisum,13262
PLN,13149
Pine Forest Berry,12919
Ebullientworks,12747
Comfort color dark,12556
Slytherin,12303
Dracula + LYT,11812
Typora-Vue,11160
Dark Graphite Pie,11057
Material Gruvbox,10657
Nebula,10564
Origami,10293
Obsidianotion,10291
Sparkling Wisdom,10243
Agora,10118
Firefly,9459
Aura,9286
Obsidian Windows 98 Edition,9271
Comfort Smooth,9242
Wikipedia,9132
Obsidian Nord Enhanced,8927
Ursa,8711
Mammoth,8703
Subtlegold,8701
Light & Bright,8545
Suddha,8288
Cardstock,8264
Vintage Theme,8186
Maple,8015
Molecule,7953
Faded,7849
Notation 2,7847
WiseLight,7745
Hipstersmoothie,7615
Aurora,7561
🔔 Chime,7482
Golden Coffee,7224
Behave dark,7110
Obsdn-Dark-Rmx,6985
Al Dente,6810
GitHub theme,6720
Purple Aurora,6622
Adwaita,6574
Amethyst,6427
Rosé Pine Moon,6418
Theme-That-Shall-Not-Be-Named,6182
Cidreira Coast,6013
Kanagawa,5966
WY Console,5940
Material Ocean,5907
Dawn,5799
Hulk,5745
Material Flat,5684
Darkyan,5569
Traffic Lights,5540
Fusion,5484
deeper work,5429
Serenity,5410
Everforest Enchanted,5314
Purple Owl,5224
Dayspring,5223
AbsoluteGruv,5165
Alchemy,5162
Emerald,5055
Dune,5001
Obsidian Boom,4971
Friendly,4885
Dracula Slim,4854
Listive,4837
Bolt,4827
Violet Evening,4731
Deep,4707
Elegance,4673
Ayu Mirage,4604
Christmas,4581
Everblush,4574
Creature,4539
Dracula Gemini,4523
Dark Graphite,4517
Ruby,4455
Panic Mode,4447
Zenburn,4446
Lizardmen Zettelkasten,4261
Charcoal,4233
GDCT,4188
ion,4177
Higlighter,4163
Big & Bold,4118
Jotter,4111
iA Writer,3959
Base2Tone,3955
Abyssal,3777
Apatheia,3711
Gastown,3708
Rmaki,3665
WilcoxOne,3584
Viridian,3522
Simple,3515
Iceberg,3510
Red Solitude,3369
Golden Book,3328
Aqua,3248
Simplicity,3158
Feather,3149
Ayu,3139
Carpe Noctem,3124
Micro Mike,3121
GDCT Dark,3091
SynthWave,3087
Carnelian,3059
Olivier’s Theme,2963
iB Writer,2919
Buena Vista,2912
