Name,Downloads
obsidian-excalidraw-plugin,1311707
dataview,1220696
table-editor-obsidian,1107519
obsidian-kanban,876840
calendar,852927
obsidian-tasks-plugin,801550
templater-obsidian,740619
obsidian-git,657594
obsidian-advanced-slides,649088
obsidian-style-settings,612143
obsidian-outliner,595252
obsidian-minimal-settings,548291
obsidian-admonition,531147
quickadd,459913
sliding-panes-obsidian,406589
tag-wrangler,405558
obsidian-icon-folder,391245
obsidian-mind-map,365813
remotely-save,300589
obsidian-day-planner,282243
cm-editor-syntax-highlight-obsidian,278656
recent-files-obsidian,276407
obsidian-annotator,271643
obsidian-checklist-plugin,257513
obsidian-linter,254865
homepage,250353
better-word-count,247020
omnisearch,242908
obsidian-emoji-toolbar,235131
nldates-obsidian,232600
oz-image-plugin,226163
periodic-notes,219608
obsidian-advanced-uri,208910
dbfolder,191925
highlightr-plugin,189853
obsidian-pandoc,188494
note-refactor-obsidian,180373
obsidian-markmind,173186
make-md,172547
url-into-selection,170330
obsidian-projects,161534
obsidian-zotero-desktop-connector,160966
notion-like-tables,158920
obsidian-textgenerator-plugin,155252
obsidian-hover-editor,153839
file-tree-alternative,152420
obsidian-hider,144038
various-complements,141679
obsidian-spaced-repetition,141082
darlal-switcher-plus,139741
obsidian-citation-plugin,138196
obsidian-full-calendar,137880
obsidian-dictionary-plugin,132923
obsidian-languagetool-plugin,130749
buttons,126898
obsidian-charts,126711
cmdr,123701
obsidian-enhancing-mindmap,123294
cmenu-plugin,121667
obsidian-banners,121353
find-unlinked-files,119301
excalibrain,111785
obsidian-image-toolkit,102727
quick-latex,99116
obsidian-leaflet-plugin,98193
obsidian-reminder-plugin,97884
obsidian-auto-link-title,96447
obsidian-enhancing-export,96418
obsidian42-brat,95533
obsidian-dice-roller,93427
obsidian-livesync,91410
obsidian-tracker,87314
breadcrumbs,85516
readwise-official,84494
obsidian-plugin-toc,83975
supercharged-links-obsidian,82335
obsidian-5e-statblocks,81986
fantasy-calendar,81816
media-extended,81374
pane-relief,81311
obsidian-latex-suite,79605
multi-column-markdown,77465
obsidian-excel-to-markdown-table,76321
obsidian-tagfolder,76236
obsidian-zoom,75088
editing-toolbar,72880
obsidian-footnotes,72485
folder-note-plugin,72108
hotkeysplus-obsidian,70262
easy-typing-obsidian,70187
obsidian-memos,70176
quick-explorer,70044
metadata-menu,70000
obsidian-extract-pdf-highlights,69337
obsidian-contextual-typography,69314
obsidian-rollover-daily-todos,68590
metaedit,68163
settings-search,67205
obsidian-kindle-plugin,66972
obsidian-icons-plugin,62108
todoist-sync-plugin,61939
markdown-prettifier,61886
obsidian-image-auto-upload-plugin,61700
smart-connections,60965
obsidian-custom-frames,60690
emoji-shortcodes,60532
obsidian-text-format,59963
cycle-through-panes,58858
obsidian-markdown-formatting-assistant-plugin,58461
obsidian-vimrc-support,57557
obsidian-to-anki-plugin,57160
drawio-obsidian,56894
obsidian-timelines,55694
juggl,54894
obsidian-sortable,54889
obsidian-tabs,54884
file-explorer-note-count,54485
google-calendar,54236
text-extractor,53771
obsidian-importer,53410
meld-encrypt,53010
convert-url-to-iframe,52471
obsidian-plantuml,51268
obsidian-book-search-plugin,51159
cm-typewriter-scroll-obsidian,50998
obsidian-collapse-all-plugin,50490
markdown-table-editor,49244
remember-cursor-position,48859
obsidian-plugin-todo,47787
oz-clear-unused-images,47282
obsidian-quiet-outline,46761
obsidian-smart-typography,46754
obsidian-plugin-update-tracker,45947
copilot,44321
obsidian-read-it-later,43996
obsidian-another-quick-switcher,43889
initiative-tracker,43729
heatmap-calendar,43679
workspaces-plus,43606
review-obsidian,42258
mousewheel-image-zoom,42247
obsidian-reading-time,42118
obsidian-map-view,42009
card-board,41885
better-pdf-plugin,41033
hotkey-helper,40227
obsidian-local-rest-api,39725
mermaid-tools,39362
longform,39320
execute-code,39277
privacy-glasses,37419
obsidian-weread-plugin,37297
flashcards-obsidian,37111
novel-word-count,36384
zoottelkeeper-obsidian-plugin,35667
obsidian-omnivore,35640
alx-folder-note,35187
obsidian-completr,34790
obsidian-chartsview-plugin,34580
table-extended,33751
obsidian-filename-heading-sync,33582
obsidian-relative-line-numbers,32999
obsidian-copy-block-link,32849
obsidian-focus-mode,32668
obsidian42-strange-new-worlds,32389
obsidian-columns,31549
graph-analysis,30778
mx-bili-plugin,30440
obsidian-icon-shortcodes,29708
number-headings-obsidian,29468
obsidian-code-block-enhancer,28854
obsidian-statusbar-pomo,28074
cm-chs-patch,28023
obsidian-list-callouts,27887
obsidian-shellcommands,27845
obsidian-paste-image-rename,27605
map-of-content,27404
folder-note-core,27171
obsidian-fullscreen-plugin,26918
obsidian-sort-and-permute-lines,26479
ava,26324
custom-sort,25747
chatgpt-md,25554
obsidian-local-images,25479
obsidian-table-generator,25466
obsidian-file-color,25152
obsidian-vault-statistics-plugin,24749
waypoint,24590
auto-note-mover,24385
obsidian-editor-shortcuts,24069
link-favicon,24009
big-calendar,23544
obsidian-autocomplete-plugin,23389
surfing,23363
obsidian-timeline,23335
mrj-text-expand,23329
digitalgarden,23082
obsidian-mindmap-nextgen,23028
obsidian-imgur-plugin,22876
smart-random-note,22802
text-snippets-obsidian,22702
obsidian-jupyter,22680
obsidian-show-file-path,22633
vantage-obsidian,22311
update-time-on-edit,22193
webpage-html-export,22151
gpt3-notes,22084
obsidian-local-images-plus,21980
obsidian-gallery,21816
podnotes,21709
obsidian-better-codeblock,21479
obsidian-view-mode-by-frontmatter,21453
obsidian-latex,21290
canvas-mindmap,21076
fleeting-notes-obsidian,21007
chronology,20998
obsidian-underline,20688
rss-reader,20430
search-on-internet,20384
better-fn,19673
colored-text,19330
workbench-obsidian,19209
obsidian-pandoc-reference-list,19168
copy-as-html,18900
obsidian-better-command-palette,18844
obsidian-import-json,18754
copy-url-in-preview,18424
folder-notes,18403
extract-url,18236
obsidian-rtl,17919
obsidian-math-plus,17829
obsidian-front-matter-title-plugin,17824
obsidian-toggl-integration,17801
obsidian-regex-replace,17770
obsidian-rich-links,17622
obsidian-link-embed,17601
obsidian-hotkeys-for-templates,17443
obsidian-task-archiver,17439
mysnippets-plugin,17435
obsidian-smarter-md-hotkeys,17419
obsidian-core-search-assistant-plugin,17389
obsidian-latex-environments,17343
customizable-menu,17166
obsidian-plugin-tagged-documents-viewer,16795
janitor,16752
image-converter,16713
language-translator,16669
customjs,16562
obsidian-bible-reference,16544
completed-task-display,16251
theme-picker,16246
obsidian-stille,16147
obsidian-jira-issue,15799
obsidian-frontmatter-tag-suggest,15773
mrj-jump-to-link,15689
obsidian-pangu,15628
obsidian-activity-history,15456
obsidian-hotkeys-for-specific-files,15381
obsidian-timestamper,15379
obsidian-journey-plugin,15223
matter,15184
creases,15079
actions-uri,14968
extract-highlights-plugin,14611
obsidian-image-caption,14482
obsidian-file-path-to-uri,14419
obsidian-task-collector,14410
floating-toc,14187
consistent-attachments-and-links,14142
open-vscode,14087
auto-card-link,14031
influx,14011
shortcuts-extender,13837
obsidian-plugin-groups,13820
ledger-obsidian,13776
obsidian-version-history-diff,13776
obsidian-html-plugin,13741
obsidian-epub-plugin,13658
terminal,13658
obsidian-mkdocs-publisher,13623
obsidian-file-link,13544
obsidian-pocket,13534
txt-as-md-obsidian,13417
obsidian-diagrams-net,13412
obsidian-dynamic-highlights,13291
metadata-extractor,13247
obsidian-comments,13195
csv-obsidian,13183
obsidian-csv-table,13097
3d-graph,12950
obsidian-task-progress-bar,12747
obsidian-tts,12680
obsidian-custom-attachment-location,12658
cm-show-whitespace-obsidian,12571
obsidian-clipper,12553
callout-manager,12545
obsidian-advanced-new-file,12429
taskbone-ocr-plugin,12402
obsidian-discordrpc,12381
obsidian-topic-linking,12333
obsidian-wikipedia,12115
tasks-calendar-wrapper,12040
obsidian-quickshare,12017
wikilinks-to-mdlinks-obsidian,12007
numerals,11972
obsidian-reveal-active-file,11924
OA-file-hider,11893
image-window,11823
lapel,11775
obsidian-to-notion,11373
close-similar-tabs,11350
maximise-active-pane-obsidian,11298
obsidian42-text-transporter,11180
music-code-blocks,11170
obsidian-timestamp-notes,11122
obsidian-file-cleaner,11106
obsidian-raindrop-highlights,11085
obsidian-tikzjax,11006
obsidian-link-converter,10979
rpg-manager,10937
obsidian-audio-notes,10907
obsidian-media-db-plugin,10850
obsidian-wordnet-plugin,10660
find-and-replace-in-selection,10546
obsidian-daily-stats,10482
open-note-to-window-title,10419
code-emitter,10322
simple-time-tracker,10306
obsidian-dangling-links,10268
new-tab-default-page,10268
obsidian-folder-index,10262
obsidian-daily-note-outline,10262
obsidian-meta-bind-plugin,10223
obsidian-react-components,10220
obsidian-attachment-name-formatting,10125
translate,10125
discordian-plugin,10099
open-gate,10084
obsidian-hypothesis-plugin,10052
obsidian-card-view-mode,10035
obsidian-query-language,9974
khoj,9940
obisidian-note-linker,9925
obsidian-tidy-footnotes,9737
home-tab,9702
advanced-cursors,9686
global-search-and-replace,9481
obsidian-plugin-prettier,9421
obsidian-chat-view,9360
copy-document-as-html,9299
obsidian-regex-pipeline,9270
obsidian-tweet-to-markdown,9198
daily-activity,9161
css-snippets,9100
obsidian-jump-to-date-plugin,9083
obsidian-wordpress,9077
colored-tags,9051
luhman,9018
obsidian-file-info-plugin,8983
obsidian-open-link-with,8958
persistent-graph,8843
links,8801
markdown-attributes,8792
time-ruler,8737
obsidian-calibre-plugin,8730
obsidian-embedded-code-title,8689
obsidian-text-expander,8665
obsidian-pomodoro-plugin,8527
obsidian-theme-design-utilities,8471
key-promoter,8459
note-folder-autorename,8432
obsidian-trash-explorer,8403
obsidian-paste-to-current-indentation,8402
obsidian-daily-notes-viewer,8358
obsidian-rewarder,8354
aprils-automatic-timelines,8338
obsidian-image-gallery,8335
marginnote-companion,8261
obsidian-habit-tracker,8222
footlinks,8209
obsidian-html-tags-autocomplete,8184
obsidian-flexible-pomo,8043
obsidian-douban-plugin,8024
obsidian-hide-sidebars-when-narrow,8006
file-order,8003
canvas-css-class,7954
obsidian-heading-shifter,7937
obsidian-text-expander-js,7909
obsidian-transcription,7897
obsidian-dialogue-plugin,7888
mrj-crosslink-between-notes,7805
tag-word-cloud,7717
obsidian-carry-forward,7696
obsidian-trello,7648
meld-calc,7622
obsidian-incremental-writing,7613
obsidian-extract-pdf-annotations,7459
obsidian-word-sprint,7395
link-exploder,7375
whisper,7347
obsidian-google-tasks,7309
cryptsidian,7290
ibook,7251
obsidian-auto-pair-chinese-symbol,7165
obsidian-functionplot,7164
obsidian-desmos,7152
alx-folder-note-folderv,7128
obsidian-notes-from-template,7102
image-captions,7075
leader-hotkeys-obsidian,7055
obsidian-ocr,7043
reveal-active-file-button,7031
obsidian-doubleshift,7022
obsidian-vault-changelog,6991
obsidian-thumbnails,6973
float-search,6954
obsidian-markdown-export-plugin,6906
code-block-from-selection,6880
dynamic-rtl,6871
obsidian-folder-focus-mode,6856
zotlit,6782
obsidian-google-lookup,6741
dangerzone-writing-plugin,6733
ai-commander,6680
obsidian-note-autocreator,6670
fantasy-content-generator,6651
reference-map,6634
codeblock-customizer,6626
ytranscript,6570
obsidian-toggle-list,6539
obsidian-markdown-furigana,6524
obsidian-orthography,6516
keyboard-analyzer,6424
obsidian-advanced-codeblock,6413
unique-attachments,6383
spreadsheets,6383
obsidian-electron-window-tweaker,6371
todoist-text,6334
obsidian-todoist-link,6300
obsius-publish,6269
obsidian-org-mode,6262
obsidian-apple-reminders-plugin,6166
google-photos,6160
obsidian-sidebar-expand-on-hover,6147
obsidian-task-marker,6142
better-inline-fields,6133
obsidian-pluck,6115
obsidian-graphviz,6113
obsidian-bulk-rename-plugin,6092
obsidian-bible-linker,6086
obsidian-dropbox-backups,6072
ghost-fade-focus,6068
obsidian-scroll-to-top-plugin,6053
telegram-sync,6028
frontmatter-links,5991
mathpad,5986
obsidian-commits,5985
tag-summary-plugin,5964
obsidian-readwise,5938
insert-unsplash-image,5918
neo4j-graph-view,5915
auto-moc,5896
obsidian-daily-named-folder,5892
chesser-obsidian,5834
obsidian-dynamic-background,5829
short-internal-links-to-headings,5795
obsidian-shortcut-launcher,5792
obsidian-youglish-plugin,5761
ninja-cursor,5757
things-logbook,5746
aosr,5709
simple-note-review,5708
obsidian-cursor-location-plugin,5671
