Name,Downloads
obsidian-excalidraw-plugin,1301704
dataview,1214095
table-editor-obsidian,1103563
obsidian-kanban,874469
calendar,849993
obsidian-tasks-plugin,796671
templater-obsidian,733712
obsidian-git,655220
obsidian-advanced-slides,648560
obsidian-style-settings,609690
obsidian-outliner,594105
obsidian-minimal-settings,546421
obsidian-admonition,530085
quickadd,457458
sliding-panes-obsidian,406015
tag-wrangler,404269
obsidian-icon-folder,387485
obsidian-mind-map,364718
remotely-save,298891
obsidian-day-planner,280820
cm-editor-syntax-highlight-obsidian,277809
recent-files-obsidian,275550
obsidian-annotator,270732
obsidian-checklist-plugin,256734
obsidian-linter,253743
homepage,249276
better-word-count,246283
omnisearch,240600
obsidian-emoji-toolbar,234440
nldates-obsidian,232096
oz-image-plugin,225884
periodic-notes,218886
obsidian-advanced-uri,208491
dbfolder,191295
highlightr-plugin,188881
obsidian-pandoc,187700
note-refactor-obsidian,179734
obsidian-markmind,172536
make-md,170623
url-into-selection,169829
obsidian-projects,160373
obsidian-zotero-desktop-connector,160213
notion-like-tables,157651
obsidian-textgenerator-plugin,154089
obsidian-hover-editor,152892
file-tree-alternative,152123
obsidian-hider,143584
various-complements,140978
obsidian-spaced-repetition,139966
darlal-switcher-plus,139352
obsidian-citation-plugin,137879
obsidian-full-calendar,137265
obsidian-dictionary-plugin,132675
obsidian-languagetool-plugin,130398
buttons,126499
obsidian-charts,126052
obsidian-enhancing-mindmap,122888
cmdr,122663
cmenu-plugin,121244
obsidian-banners,120822
find-unlinked-files,119077
excalibrain,111159
obsidian-image-toolkit,100980
quick-latex,98645
obsidian-leaflet-plugin,97821
obsidian-reminder-plugin,97537
obsidian-auto-link-title,96071
obsidian-enhancing-export,95727
obsidian42-brat,94695
obsidian-dice-roller,92948
obsidian-livesync,90767
obsidian-tracker,86402
breadcrumbs,85399
readwise-official,84244
obsidian-plugin-toc,83609
supercharged-links-obsidian,81860
obsidian-5e-statblocks,81690
fantasy-calendar,81618
media-extended,81147
pane-relief,81091
obsidian-latex-suite,79028
multi-column-markdown,77180
obsidian-excel-to-markdown-table,76045
obsidian-tagfolder,75887
obsidian-zoom,74952
editing-toolbar,72880
obsidian-footnotes,72253
folder-note-plugin,71880
hotkeysplus-obsidian,70166
quick-explorer,69941
easy-typing-obsidian,69919
obsidian-memos,69879
metadata-menu,69745
obsidian-extract-pdf-highlights,69179
obsidian-contextual-typography,69138
obsidian-rollover-daily-todos,68377
metaedit,67943
settings-search,66822
obsidian-kindle-plugin,66811
obsidian-icons-plugin,61952
markdown-prettifier,61799
todoist-sync-plugin,61768
obsidian-image-auto-upload-plugin,61421
obsidian-custom-frames,60402
emoji-shortcodes,60325
smart-connections,60031
obsidian-text-format,59772
cycle-through-panes,58760
obsidian-markdown-formatting-assistant-plugin,58315
obsidian-vimrc-support,57396
obsidian-to-anki-plugin,56980
drawio-obsidian,56553
obsidian-timelines,55493
obsidian-tabs,54819
obsidian-sortable,54725
juggl,54552
file-explorer-note-count,54230
google-calendar,53890
text-extractor,53443
meld-encrypt,52949
obsidian-importer,52343
convert-url-to-iframe,52317
obsidian-plantuml,51010
cm-typewriter-scroll-obsidian,50858
obsidian-book-search-plugin,50816
obsidian-collapse-all-plugin,50409
markdown-table-editor,48995
remember-cursor-position,48620
obsidian-plugin-todo,47663
oz-clear-unused-images,47074
obsidian-smart-typography,46594
obsidian-quiet-outline,46506
obsidian-plugin-update-tracker,45796
obsidian-another-quick-switcher,43785
obsidian-read-it-later,43758
initiative-tracker,43575
copilot,43527
heatmap-calendar,43492
workspaces-plus,43488
review-obsidian,42035
obsidian-reading-time,42018
mousewheel-image-zoom,42000
obsidian-map-view,41831
card-board,41623
better-pdf-plugin,40911
hotkey-helper,40137
obsidian-local-rest-api,39423
longform,39100
mermaid-tools,39048
execute-code,38984
privacy-glasses,37262
obsidian-weread-plugin,37077
flashcards-obsidian,37018
novel-word-count,36129
zoottelkeeper-obsidian-plugin,35499
alx-folder-note,35067
obsidian-omnivore,34675
obsidian-completr,34673
obsidian-chartsview-plugin,34475
table-extended,33635
obsidian-filename-heading-sync,33505
obsidian-relative-line-numbers,32800
obsidian-copy-block-link,32730
obsidian-focus-mode,32584
obsidian42-strange-new-worlds,32116
obsidian-columns,31409
graph-analysis,30712
mx-bili-plugin,30364
obsidian-icon-shortcodes,29614
number-headings-obsidian,29325
obsidian-code-block-enhancer,28672
cm-chs-patch,27956
obsidian-statusbar-pomo,27949
obsidian-shellcommands,27760
obsidian-list-callouts,27658
obsidian-paste-image-rename,27442
map-of-content,27330
folder-note-core,27066
obsidian-fullscreen-plugin,26854
obsidian-sort-and-permute-lines,26390
ava,26324
chatgpt-md,25447
obsidian-local-images,25389
custom-sort,25293
obsidian-table-generator,25228
obsidian-file-color,24908
obsidian-vault-statistics-plugin,24677
waypoint,24461
auto-note-mover,24233
obsidian-editor-shortcuts,23967
link-favicon,23893
big-calendar,23460
obsidian-autocomplete-plugin,23325
mrj-text-expand,23263
obsidian-timeline,23218
surfing,23213
digitalgarden,22939
obsidian-mindmap-nextgen,22887
obsidian-imgur-plugin,22736
smart-random-note,22733
text-snippets-obsidian,22609
obsidian-jupyter,22609
obsidian-show-file-path,22574
vantage-obsidian,22264
update-time-on-edit,22034
gpt3-notes,21994
webpage-html-export,21948
obsidian-gallery,21744
obsidian-local-images-plus,21733
podnotes,21634
obsidian-view-mode-by-frontmatter,21353
obsidian-better-codeblock,21339
obsidian-latex,21192
canvas-mindmap,20903
fleeting-notes-obsidian,20860
chronology,20654
obsidian-underline,20591
rss-reader,20373
search-on-internet,20335
better-fn,19609
workbench-obsidian,19174
colored-text,19060
obsidian-pandoc-reference-list,19026
copy-as-html,18802
obsidian-better-command-palette,18736
obsidian-import-json,18680
copy-url-in-preview,18304
extract-url,18181
folder-notes,18123
obsidian-rtl,17848
obsidian-toggl-integration,17744
obsidian-front-matter-title-plugin,17721
obsidian-regex-replace,17652
obsidian-math-plus,17636
obsidian-rich-links,17533
obsidian-link-embed,17459
obsidian-hotkeys-for-templates,17387
obsidian-task-archiver,17370
obsidian-smarter-md-hotkeys,17365
mysnippets-plugin,17351
obsidian-core-search-assistant-plugin,17310
obsidian-latex-environments,17280
customizable-menu,17110
obsidian-plugin-tagged-documents-viewer,16681
janitor,16655
image-converter,16574
language-translator,16554
obsidian-bible-reference,16473
