Name,Downloads
actions-uri,17417
obsidian-jira-issue,17203
theme-picker,17117
obsidian-stille,17103
obsidian-frontmatter-tag-suggest,16403
obsidian-timestamper,16392
obsidian-pangu,16286
consistent-attachments-and-links,16272
obsidian-activity-history,16253
mrj-jump-to-link,16226
obsidian-hotkeys-for-specific-files,16217
creases,16020
obsidian-task-collector,15957
matter,15719
obsidian-journey-plugin,15711
obsidian-mkdocs-publisher,15518
auto-card-link,15359
obsidian-image-caption,15304
obsidian-html-plugin,15304
extract-highlights-plugin,15133
obsidian-file-path-to-uri,15044
obsidian-version-history-diff,14907
obsidian-clipper,14898
obsidian-plugin-groups,14895
3d-graph,14874
terminal,14864
callout-manager,14831
influx,14793
open-vscode,14786
ledger-obsidian,14785
shortcuts-extender,14753
obsidian-epub-plugin,14712
obsidian-diagrams-net,14567
obsidian-file-link,14476
txt-as-md-obsidian,14302
code-emitter,14269
obsidian-pocket,14076
obsidian-dynamic-highlights,14012
obsidian-comments,13997
metadata-extractor,13970
obsidian-csv-table,13795
csv-obsidian,13783
tasks-calendar-wrapper,13692
obsidian-task-progress-bar,13586
obsidian-tts,13534
obsidian-custom-attachment-location,13522
taskbone-ocr-plugin,13386
close-similar-tabs,13238
obsidian-discordrpc,13205
numerals,13083
obsidian-topic-linking,13061
obsidian-advanced-new-file,13013
OA-file-hider,12961
obsidian-quickshare,12914
obsidian-wikipedia,12868
image-window,12669
open-gate,12654
wikilinks-to-mdlinks-obsidian,12609
obsidian-meta-bind-plugin,12555
lapel,12513
rpg-manager,12496
obsidian-reveal-active-file,12494
obsidian42-text-transporter,12413
obsidian-to-notion,12150
obsidian-tikzjax,12087
obsidian-timestamp-notes,11996
obsidian-file-cleaner,11957
obsidian-raindrop-highlights,11931
colored-tags,11891
music-code-blocks,11815
maximise-active-pane-obsidian,11705
obsidian-media-db-plugin,11684
obsidian-audio-notes,11661
obsidian-attachment-name-formatting,11519
time-ruler,11447
translate,11392
khoj,11342
obsidian-wordnet-plugin,11321
links,11274
new-tab-default-page,11247
obsidian-folder-index,11221
obsidian-daily-stats,11136
simple-time-tracker,11125
find-and-replace-in-selection,11063
obsidian-link-converter,11063
obsidian-daily-note-outline,10993
open-note-to-window-title,10867
obisidian-note-linker,10867
obsidian-react-components,10851
obsidian-dangling-links,10784
home-tab,10768
discordian-plugin,10658
obsidian-card-view-mode,10656
global-search-and-replace,10597
obsidian-hypothesis-plugin,10532
obsidian-query-language,10430
advanced-cursors,10267
obsidian-tidy-footnotes,10242
copy-document-as-html,10140
obsidian-plugin-prettier,10012
obsidian-chat-view,9990
obsidian-wordpress,9914
obsidian-regex-pipeline,9842
css-snippets,9775
obsidian-rewarder,9693
luhman,9611
obsidian-file-info-plugin,9607
daily-activity,9606
persistent-graph,9601
obsidian-tweet-to-markdown,9598
obsidian-open-link-with,9584
obsidian-jump-to-date-plugin,9583
obsidian-calibre-plugin,9401
aprils-automatic-timelines,9381
markdown-attributes,9349
obsidian-trash-explorer,9323
obsidian-transcription,9266
obsidian-theme-design-utilities,9212
obsidian-paste-to-current-indentation,9203
obsidian-embedded-code-title,9191
obsidian-pomodoro-plugin,9157
obsidian-image-gallery,9148
obsidian-text-expander,9129
file-order,9046
obsidian-daily-notes-viewer,8982
key-promoter,8944
note-folder-autorename,8873
reference-map,8872
canvas-css-class,8823
marginnote-companion,8789
obsidian-html-tags-autocomplete,8783
obsidian-habit-tracker,8776
obsidian-hide-sidebars-when-narrow,8644
obsidian-flexible-pomo,8644
footlinks,8600
obsidian-heading-shifter,8546
obsidian-dialogue-plugin,8486
obsidian-carry-forward,8450
obsidian-text-expander-js,8432
obsidian-trello,8411
obsidian-douban-plugin,8363
tag-word-cloud,8337
excel,8282
mrj-crosslink-between-notes,8237
zotlit,8233
whisper,8220
link-exploder,8150
obsidian-word-sprint,8114
meld-calc,8104
obsidian-incremental-writing,8048
obsidian-extract-pdf-annotations,7995
spreadsheets,7980
obsidian-google-tasks,7976
cryptsidian,7863
obsidian-functionplot,7850
float-search,7843
ibook,7784
obsidian-desmos,7769
obsidian-ocr,7713
alx-folder-note-folderv,7691
obsidian-thumbnails,7639
obsidian-auto-pair-chinese-symbol,7617
dynamic-rtl,7610
reveal-active-file-button,7602
obsidian-notes-from-template,7591
fantasy-content-generator,7580
obsidian-markdown-export-plugin,7555
obsidian-toggle-list,7539
leader-hotkeys-obsidian,7533
obsidian-vault-changelog,7531
obsidian-doubleshift,7527
codeblock-customizer,7521
image-captions,7452
ai-commander,7437
telegram-sync,7417
obsidian-folder-focus-mode,7365
ytranscript,7311
code-block-from-selection,7308
wikipedia-search,7252
keyboard-analyzer,7244
obsidian-google-lookup,7236
dangerzone-writing-plugin,7203
obsidian-note-autocreator,7169
obsidian-scroll-to-top-plugin,7096
obsidian-task-marker,7048
obsius-publish,7037
obsidian-markdown-furigana,7033
todoist-text,6994
obsidian-advanced-codeblock,6974
obsidian-orthography,6911
mathlinks,6853
obsidian-daily-named-folder,6847
unique-attachments,6842
obsidian-electron-window-tweaker,6797
google-photos,6788
obsidian-todoist-link,6779
obsidian-org-mode,6721
simple-note-review,6692
obsidian-apple-reminders-plugin,6663
obsidian-sidebar-expand-on-hover,6622
obsidian-bulk-rename-plugin,6621
obsidian-graphviz,6618
auto-moc,6610
obsidian-bible-linker,6608
better-inline-fields,6595
mathpad,6559
tag-summary-plugin,6520
obsidian-pluck,6517
open-in-new-tab,6515
obsidian-dynamic-background,6513
ghost-fade-focus,6501
obsidian-dropbox-backups,6492
frontmatter-links,6445
insert-unsplash-image,6436
deepl,6419
code-styler,6415
obsidian-commits,6390
math-booster,6386
short-internal-links-to-headings,6367
daily-notes-editor,6345
tray,6338
neo4j-graph-view,6330
obsidian-readwise,6329
obsidian-shortcut-launcher,6306
companion,6299
chesser-obsidian,6298
ninja-cursor,6271
obsidian-youglish-plugin,6263
aosr,6249
things-logbook,6246
d2-obsidian,6220
canvas-presentation,6207
ai-assistant,6132
obsidian-cursor-location-plugin,6094
page-gallery,6057
obsidian-state-switcher,6052
obsidian-list-modified,6002
obsidian-prozen,5995
heading-level-indent,5991
obsidian-remember-file-state,5978
DEVONlink-obsidian,5956
no-dupe-leaves,5917
editor-width-slider,5891
marp,5885
obsidian-prominent-starred-files,5870
obsidian-gist,5846
better-reading-mode,5832
optimize-canvas-connections,5816
emoji-magic,5814
podcast-note,5810
